,subject,ECG_Rate_Baseline,ECG_Rate_Max,ECG_Rate_Min,ECG_Rate_Mean,ECG_Rate_SD,ECG_Rate_Max_Time,ECG_Rate_Min_Time,ECG_Rate_Trend_Linear,ECG_Rate_Trend_Quadratic,ECG_Rate_Trend_R2,ECG_Phase_Atrial,ECG_Phase_Completion_Atrial,ECG_Phase_Ventricular,ECG_Phase_Completion_Ventricular,ECG_Quality_Mean,EDA_Peak_Amplitude,EDA_SCR,SCR_Peak_Amplitude,SCR_Peak_Amplitude_Time,SCR_RiseTime,SCR_RecoveryTime,pupil_diameter_Baseline,pupil_diameter_Max,pupil_diameter_Min,pupil_diameter_Mean,pupil_diameter_SD,pupil_diameter_Max_Time,pupil_diameter_Min_Time,pupil_diameter_Trend_Linear,pupil_diameter_Trend_Quadratic,pupil_diameter_Trend_R2,total_duration,likert
personalDetails,2,81.01381236172637,7.221481755920692,0.02324956373232112,5.273891625287533,1.908073961790081,1.5471226021684736,0.005838198498749003,4.244894182440369,0.3281000181508249,0.8440750094239363,0.0,0.9512195121951219,0.0,0.6329113924050633,0.9761572380135722,0.1970584571591768,1,0.7666381513739534,4.039199332777314,1.67,,3.211773605063015,0.679666560009875,-0.32605348970002357,0.08431937514519872,0.3042751962132633,3.398665554628857,1.291909924937448,0.5124751577265687,-0.47845701672941715,0.42543905375372815,104.25,5
confusingCheckbox,2,85.76409479295363,6.5435975147386785,-3.368938636022577,2.579848272029139,2.6501104954991956,1.422018348623853,5.0,5.215496156599107,-0.5296239330944337,0.8672516308961845,1.0,0.2727272727272727,0.0,0.8571428571428571,0.985918323281915,0.3205780149858317,0,,,,,3.2945510769289132,0.08560244152730423,-0.57758167312448,-0.1924006541808363,0.2035282545655412,0.836530442035029,4.414512093411176,-0.11352662425854301,0.12517064735145367,0.8983291874647178,121.24,4
creditCard,2,83.50070043054636,11.737394807548881,0.021916038523499992,7.578829068631563,3.7019375906063896,2.1876563803169304,0.005838198498749003,10.16554454302158,-1.8783825675299357,0.9795526902588887,0.0,0.8135593220338984,0.0,0.45121951219512196,0.909777336172738,1.8911725349375637,1,4.349384785212715,4.589658048373645,2.815,,2.867330924037133,-0.001255722504868828,-0.18213549880598823,-0.0863323843003414,0.04539290986066726,0.005838198498749003,2.7481234361968307,-0.07961109370119138,-0.007445046093171234,0.4058961208255194,45.99,5
id,2,76.80383485749844,7.112249058585476,0.005923516158844677,2.907791085836351,2.3804457870609097,1.9424520433694745,0.005838198498749003,4.4997622017726275,-0.7625746076734374,0.507619785318515,0.0,0.484375,1.0,0.775,0.9856819515144205,0.12375147593867095,0,,,,,2.621205730429229,0.15578025990267408,-0.015398659253730074,0.08823053775372314,0.044642588973112525,4.539616346955796,2.0225187656380315,0.04831027502688881,0.005811880220371703,0.7018609952062291,12.83,7
cookies,3,81.96377844924179,6.2715156684052715,-6.913562299049346,-0.9637395963021476,3.945806766217193,0.9916597164303587,5.0,-2.916492088381186,5.662786504735249,0.8460379897898744,0.0,0.7027027027027027,0.0,0.24691358024691357,0.8567397110541681,0.22643115968127275,1,0.45914880779461587,2.5029190992493744,1.175,,3.9103917917608144,0.05873815199492416,-0.4425111015240799,-0.17754340354449516,0.13471935474146995,0.18598832360300244,4.669724770642202,-0.07333442223968997,-0.028924898219786454,0.31825557177541397,20.51,5
geolocation,3,76.5386043491182,-0.11717920625237355,-19.666566434426258,-13.88513527626447,4.8182798766249215,0.005838198498749003,1.92743953294412,-5.831175168152099,-11.196534834525357,0.4578188400075057,0.0,0.19780219780219782,0.0,0.08947368421052632,0.8944677572780316,0.14628649384164516,1,0.17418760379228143,2.9933277731442867,1.19,20.0,4.580399771259199,0.10477482735884891,-0.9871854206286312,-0.4821611287017662,0.3183550083729935,2.90325271059216,3.8890742285237696,0.2610224750603796,-0.6365836344172585,0.1522309543132535,5.305,6
confirmshaming,3,75.0,0.0,-7.203470212210206,-2.2509227448354636,1.8452059745784468,0.005838198498749003,5.0,-1.4089243563292186,-0.11589645468225739,0.2302041215993954,0.0,0.963235294117647,0.0,0.711340206185567,0.9123536508885286,0.035296697758753805,0,,,,,3.6952811584435588,0.9498587419300448,-0.1443015909396581,0.2848593868418732,0.3411100277797551,3.0633861551292743,4.829858215179316,0.8005838596182353,-0.42668051993174094,0.726470427238777,17.135,6
personalDetails,3,81.24980709501394,-0.006390595480908701,-6.869407575440107,-4.361406354003762,1.8615447275954786,0.005838198498749003,5.0,-3.3425772996294376,0.28500914195955546,0.9417594361761142,0.0,0.4672131147540984,1.0,0.8769230769230769,0.9579183674537713,0.11008756263631513,1,0.031761037816135,1.2418682235195995,0.39,285.0,3.9524399348593473,0.8388208099028818,0.0014523109902642162,0.46378383096687337,0.21922970056012647,5.0,0.005838198498749003,0.1627946561059091,0.07478802298347798,0.9978319419619284,114.485,6
confusingCheckbox,3,65.21739130434783,16.97438951756999,0.0,9.652682893360009,6.207134146000962,3.6188490408673895,0.005838198498749003,11.264728224953593,-5.676908938184976,0.8949693453005525,0.0,0.5437500000000001,0.0,0.4074074074074074,0.8486850754701656,0.3257168711821758,1,0.4852878978738039,3.698915763135947,2.085,989.0,4.014474619197195,0.2590677900858491,-0.05989414509360813,0.11002446354027295,0.09427754819224275,2.8982485404503753,4.504587155963303,0.1447886961065591,0.03307281921990386,0.6197097683465624,90.61,5
creditCard,3,73.31459215759304,9.444028532062134,0.0169151263639975,5.92027639786599,2.9566856673739657,3.013344453711426,0.005838198498749003,4.334000498363917,-0.7546761883734625,0.8984321312906081,0.0,0.06666666666666668,1.0,0.12857142857142856,0.9060672777605775,0.11276433008137754,0,,,,,3.6293264472553783,0.019607186141771926,-0.1780874353126931,-0.09939457254920514,0.04976963912895415,4.954962468723936,3.4787322768974143,-0.10791717667203896,0.0035183658114302787,0.6112237466041792,13.135,7
