subject,site,condition_type,dark,stimulus,duration,eda_tonic_mean,eda_tonic_std,eda_tonic_max,eda_tonic_min,eda_tonic_median,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_min,eda_phasic_median,eda_phasic_auc,eda_scr,scr_peaks_rate,scr_recovery_rate,aware,bothered,granted,ddp_familiar,ddp_bothered,was_fixated,fixated_ratio,age,is_male,eng_speaking_freq,eng_understanding_freq,eng_proficiency,dark_first,hotel_first
5,flights,fair_notification,0,notification,15.0000,341.6900,3.9184,346.6775,333.4348,342.2195,0.2555,11.4001,26.9445,-19.5523,-1.9871,4.2958,1,0.0667,0.0667,0,32.34,0,1.0000,49.5300,1,0.1323,25,0,1,4,3,1,1
5,flights,fair_travelProtection,0,travelProtection,2.5594,291.8521,0.9201,293.2486,290.0538,291.9531,2.6678,2.4345,8.2958,-0.7708,2.3636,2.7301,0,0.0000,0.3907,0,43.96,0,1.0000,62.3800,1,0.1861,25,0,1,4,3,1,1
5,flights,fair_newsletter,0,newsletter,3.8990,297.3602,0.4371,297.9110,296.4484,297.4594,3.6241,4.5697,9.1996,-8.0107,4.3631,4.2868,0,0.2565,0.2565,0,26.58,0,1.0000,80.1100,1,0.6040,25,0,1,4,3,1,1
6,flights,fair_cookies,0,cookies,2.8250,368.7397,0.3496,369.5113,368.3024,368.6559,-0.0544,0.8433,2.3375,-1.3977,-0.3067,0.3015,0,0.0000,0.0000,0,100.0,0,0.0000,51.6450,1,0.7115,28,1,1,1,1,0,0
6,flights,fair_geolocation,0,geolocation,15.0000,380.3343,5.5163,385.7383,369.5188,383.2555,-0.0618,6.0251,8.4359,-11.4211,0.5064,2.6065,1,0.0667,0.0667,1,62.73,0,0.0000,51.6450,0,0.0000,28,1,1,1,1,0,0
6,flights,fair_notification,0,notification,15.0000,496.0125,9.0894,508.4561,480.5724,496.4592,0.5507,5.5468,11.9796,-8.2199,0.4161,2.6178,1,0.1333,0.0667,1,59.21,0,0.0000,52.7000,1,0.2693,28,1,1,1,1,0,0
6,flights,fair_travelProtection,0,travelProtection,9.4118,381.7896,3.1931,389.5773,378.5229,380.6935,1.2364,3.0709,4.9884,-4.8078,0.4650,2.0245,0,0.1062,0.1062,1,68.37,0,0.0000,57.5700,1,0.6748,28,1,1,1,1,0,0
6,flights,fair_newsletter,0,newsletter,3.7600,461.0562,1.3902,463.0145,458.4076,461.2229,-5.5986,1.3531,-3.0268,-8.0277,-5.0137,0.0000,0,0.0000,0.0000,1,100.0,0,0.0000,44.6600,1,0.9244,28,1,1,1,1,0,0
6,hotels,dark_cookies,1,cookies,9.4070,523.8724,2.2591,529.1199,520.1655,523.3882,-0.3023,7.0982,13.9796,-7.8139,-3.4347,2.9604,1,0.1063,0.1063,1,100.0,1,0.0000,51.6450,1,0.9047,28,1,1,1,1,0,0
6,hotels,dark_geolocation,1,geolocation,2.9589,515.4052,1.1974,517.4953,513.3789,515.3893,-0.0588,0.8098,0.9749,-1.9275,0.1233,0.3029,0,0.0000,0.0000,1,100.0,0,0.0000,51.6450,1,0.8459,28,1,1,1,1,0,0
